article_id,reference_summary
NEWS_0001,"In 1977 director Roman Polanski pleaded guilty to having sex with a 13-year-old girl .
He has lived in France for decades to avoid arrest if he enters the U.S.
Oscar winner was arrested en route to Zurich Film Festival, which was honoring him .
Polanski won Oscar for best director for ""The Pianist;"" did not collect it in person ."
NEWS_0002,"John Singleton's vehicle strikes woman, 57, who stepped into street .
Singleton sober, not charged, allowed to leave after questioning .
Director nominated for two Oscars for ""Boyz N the Hood"""
NEWS_0003,"Some industry heavy hitters support Roman Polanski after his arrest .
Many in the international film community continue to hail him as a hero .
Polanski has remained a Hollywood insider while living as a fugitive .
Film festival president: ""We hope today that this latest order will be dropped"""
NEWS_0004,"Forbes crowns American investor Warren Buffett as world's richest person .
After 13 years on top, Microsoft's Bill Gates drops to number three position .
Russia replaces Germany as No. 2 country with 87 billionaires .
Facebook founder Mark Zuckerberg may be youngest self-made billionaire in history ."
NEWS_0005,"Mat Kearney enjoys growing success; new album is ""City of Black & White""
Kearney has earned airplay on TV, including ""Grey's Anatomy""
Kearney likes juxtaposition of personal lyrics, big musical sound ."
NEWS_0006,"Actor Derek Mears takes on role of Jason in new ""Friday the 13th""
Actor heard from producers that he was a popular casting choice .
Of iconic role, Mears says he tried to ""definitely make it my own"""
NEWS_0007,"The FBI reports nearly 3,200 account hijacking cases since 2006 .
Online scam losses amounting to $264.6 million reported in 2008 .
Facebook has automated systems that detect compromised accounts .
MySpace.com creates blacklists of phony accounts ."
NEWS_0008,"""Every three minutes"" statistic made Witherspoon feel ""vulnerable"" and ""scared""
Oscar-winning actress: Young women are not exempt from the disease .
Witherspoon emphasizes importance of early detection and regular screenings ."
NEWS_0009,"NEW: Officials say the death toll in grenade attack is up to 40 .
President Felipe Calderon responds to attack via his Twitter account .
Grenade attack reported at a casino in Monterrey, in northeastern Mexico .
Up to 30 people thought trapped in the casino because of debris ."
NEWS_0010,"Florence-born fashion designer Roberto Cavalli is known for his bright, sexy clothes .
He is the grandson of Impressionist painter Giuseppe Rossi and the son of a tailor .
His clothes are adored by celebrities like Gwyneth Paltrow and Victoria Beckham .
Cavalli's extravagant lifestyle includes color-coordinated yacht, cars and helicopter ."
NEWS_0011,"Obama thanks youth for helping inspire, energize ""improbable journey""
Obama says at military ball there is ""no greater honor"" than being commander .
Michelle Obama wears silk chiffon Jason Wu gown with crystal rhinestones .
Celebrities attending include Beyoncé, Jay-Z, Faith Hill ."
NEWS_0012,"Senate Foreign Relations Committee hears testimony on quake-ravaged nation .
Actor Sean Penn founded aid agency in Haiti .
He and others urged U.S. donors to ask for transparency ."
NEWS_0013,"Here's how to squeeze the most performance out of your older computer .
It may be your software that's slow, not your computer; check for updates .
Move as many of your activities, such as e-mail, to the Web as possible .
If you're still using Internet Explorer, stop! You're better off with a newer build of Firefox ."
NEWS_0014,"Actor Robert Duvall first worked with Francis Ford Coppola 40 years ago .
He starred in Oscar-winners ""The Godfather,"" and ""The Godfather: Part II""
Immortalized ""I love the smell of napalm in the morning in ""Apocalypse Now""
Duvall on Coppola: ""A talented maniac. No, not a maniac, a talented, driven guy"""
NEWS_0015,"Gary Coleman arrested in Utah County, Utah; actor had outstanding warrant .
Coleman could get out of jail by posting $1,725 bail, police say .
Police: Actor's home visited in response to civil disturbance call, but no criminal charges filed ."
NEWS_0016,"Stuart Hughes is known for his expensive remakes of popular gadgets .
Only two of these iPhone 4s will ever be made .
The device has a price tag of 5 million pounds, or roughly $8 million ."
NEWS_0017,"Luciano Pavarotti widely considered the greatest tenor of his time .
The Italian's charisma and bravura style attracted a new audience to opera .
Singer retired from staged opera in 2004; diagnosed with cancer in 2006 ."
NEWS_0018,"Nigerian musician Femi Kuti is son of Afrobeat pioneer Fela Kuti .
Inherited his father's passion for music and political activism .
Nightclub in Lagos recently closed by authorities; remains politically outspoken ."
NEWS_0019,"Harrison's star next to Hollywood headquarters of Capitol Records .
Harrison, who died of cancer in 2001, is second Beatle with star after John Lennon .
Some fans travel from as far as Liverpool, England for dedication of Harrison's star .
Harrison penned many Beatles songs before launching successful solo career ."
NEWS_0020,"Oscar cancellation would have cost the industry an estimated $400m .
Limo drivers, caterers, make-up artists would be among worst hit .
Jewelry designers like Chopard generate $1m in publicity on Oscars night .
Films which achieve success on the night can expect box office cash injection ."
NEWS_0021,"Actress Selma Blair wore huge prosthetic boobs for a John Waters movie .
She's gained at least 15 pounds for her role on ""Kath and Kim""
She considered Botox but says she doesn't have enough wrinkles for it yet .
Blair experimented with three completely different looks in less than a year ."
NEWS_0022,"Baz Luhrmann's early cinema style is known as ""The Red Curtain""
A striking and highly visual and theatrical style exemplified in ""Moulin Rouge!""
His new epic film ""Australia"" is a departure from this cinema style ."
NEWS_0023,"Mandy Moore's new album is ""Amanda Leigh,"" her given name .
Moore has gone indie route with new album, happy to be on that path .
Freshly married to Ryan Adams, singer looks forward to new things -- like metal?"
NEWS_0024,"American Medical Association Alliance wants films with smoking to be rated R .
AMAA says that kids who watch smoking often turn to habit .
Hollywood rating organization says smoking in movies has declined ."
NEWS_0025,"Natalie Cole underwent kidney transplant surgery Tuesday .
Singer has been receiving kidney dialysis since September .
Grammy-winning Cole scheduled a tour for CD ""Still Unforgettable"""
NEWS_0026,"Propofol, generic name of Diprivan, reportedly found in Michael Jackson's home .
DEA spokesman: ""We've been looking into it for the past two years""
Spokesman says inquiry hasn't been affected by singer's cardiac arrest death .
Propofol is administered intravenously in operating rooms as a powerful anesthetic ."
NEWS_0027,"Half-Mongolian, half-Chinese musician mixes ethnic influences with chill-out beats .
First album sold over 2 million copies in South East Asia .
Deemed too controversial by Glastonbury Festival and dropped from line-up ."
NEWS_0028,"Many domestic airlines have begun offering Wi-Fi Internet access aboard planes .
Provider Aircell expects to have 1,200 planes equipped by the end of this year .
Another company, Row 44, says it will have trans-Atlantic Wi-Fi in the third quarter ."
NEWS_0029,"Microsoft founder Bill Gates talks to CNN's Wolf Blitzer .
Gates says Obama should craft a wide-ranging stimulus package .
He also wants Obama to increase investments in education, technology .
""Spending is the only way we'll ever come out of this downturn,"" he says ."
NEWS_0030,"When you're inside the theater, the whole show seems to work, and you feel part of it .
Stagehands guide the changing of the sets during the commercial breaks .
Seeing five Best Actors presenting Oscars on the same stage was pretty amazing .
The Oscars can still astonish -- they still know how to put on the big musical number ."
NEWS_0031,"Developing a personal brand can be a great strategy for job seekers .
A personal brand is what makes you stand out .
Decide what you want your personal brand to say about you .
The Internet is a good place to establish both visibility and a strong personal brand ."
NEWS_0032,"Wu-Tang producer: Attempted murder conviction also could have derailed band .
Rapper/producer/actor RZA talks of forming Wu-Tang Clan in upcoming memoir .
RZA: Ol' Dirty Bastard made son watch him do drugs before 2004 fatal overdose .
Book cites lessons from Christianity, Islam, numerology, kung fu, chess ."
NEWS_0033,"James Cameron's ""Avatar"" had its world premiere in London yesterday .
The 3D sci-fi epic goes on public release worldwide on December 18 .
Read what the critics have said said so far ."
NEWS_0034,"Minnesota couple instant stars after YouTube wedding video goes viral .
Dancing wedding party garners fans, draws media attention .
Fellow YouTube star says attention ""can be a bit much to handle""
Popularity of video has also sparked interest in the Chris Brown tune featured ."
NEWS_0035,"Academy sues Arizona-based company over sales of Oscar packages .
Tickets to lavish movie awards show cannot be transferred or sold, Academy says .
Package includes four tickets to 81st annual Academy Awards, L.A. hotel stay .
Selling tickets could become a security issue, according to lawsuit ."
NEWS_0036,"""The Haunting in Connecticut"" had a successful opening weekend at box office .
Virginia Madsen, who stars in film, likes ""things that go bump in the night""
Madsen, best known for ""Sideways,"" took motherly role over young co-stars ."
