article_id,text,category_keyword,source
NEWS_0001,"(CNN) -- Oscar-winning filmmaker Roman Polanski has been arrested in Switzerland on a decades-old arrest warrant stemming from a sex charge in California, Swiss police said Sunday. Roman Polanski attends a film premiere in Paris, France, in June 2009. Polanski, 76, was taken into custody trying to enter Switzerland on Saturday, Zurich police said. A spokesman for the Swiss Justice Ministry said Polanski was arrested upon arrival at the airport. He has lived in France for decades to avoid being arrested if he enters the United States and declined to appear in person to collect his Academy Award for Best Director for ""The Pianist"" in 2003. The director pleaded guilty in 1977 to a single count of having unlawful sexual intercourse with a minor, acknowledging he had sex with a 13-year-old girl. But he fled the United States before he could be sentenced, and U.S. authorities have had a warrant for his arrest since 1978.  Watch what happens now for Polanski » Polanski was nominated for best director Oscars for ""Tess"" and ""Chinatown,"" and for best writing for ""Rosemary's Baby,"" which he also directed. He was en route to the Zurich Film Festival, which is holding a Polanski tribute this year, when he was arrested by Swiss authorities, the festival said. A provisional arrest warrant was issued last week out of Los Angeles, California, after authorities learned Polanski was going to be in Switzerland, Sandi Gibbons, spokeswoman for the Los Angeles County district attorney's office, told CNN on Sunday. There have been repeated attempts to settle the case over the years, but the sticking point has always been Polanski's refusal to return to attend hearings. Prosecutors have consistently argued that it would be a miscarriage of justice to allow a man to go free who ""drugged and raped a 13-year-old child."" The Swiss Justice Ministry said Polanski was put ""in provisional detention."" But whether he can be extradited to the United States ""can be established only after the extradition process judicially has been finalised,"" a ministry spokesman said in an e-mail. ""It is possible to appeal at the federal penal court of justice against an arrest warrant in view to extradition as well as against an extradition decision,"" the spokesman wrote. ""Their decisions can be taken further to the federal court of justice."" Gibbons said the extradition process will be determined in Switzerland, but said authorities are ready to move forward with Polanski's sentencing process, depending on what happens in Zurich. Polanski was accused of plying a 13-year-old girl with champagne and a sliver of a quaalude tablet and performing various sex acts, including intercourse, with her during a photo shoot at actor Jack Nicholson's house. He was 43 at the time. Nicholson was not at home, but his girlfriend at the time, actress Anjelica Huston, was. According to a probation report contained in the filing, Huston described the victim as ""sullen."" ""She appeared to be one of those kind of little chicks between -- could be any age up to 25. She did not look like a 13-year-old scared little thing,"" Huston said. She added that Polanski did not strike her as the type of man who would force himself on a young girl. ""I don't think he's a bad man,"" she said in the report. ""I think he's an unhappy man."" Polanski pleaded guilty to a single count of having unlawful sexual intercourse with a minor. There have been repeated attempts to settle the case over the years, but the sticking point has always been Polanski's refusal to return to attend hearings. Prosecutors have consistently argued that it would be a miscarriage of justice to allow a man to go free who ""drugged and raped a 13-year-old child."" Polanski's lawyers tried earlier this year to have the charges thrown out, but a Los Angeles judge rejected the request. In doing so, Los Angeles Superior Court Judge Peter Espinoza left the door open to reconsider his ruling",oscar,news-qa-summarization
NEWS_0002,"LOS ANGELES, California (CNN)  -- Oscar-nominated director John Singleton accidentally struck and killed a pedestrian, a Los Angeles police spokesman said late Friday. John Singleton directed ""Rosewood,"" ""Baby Boy,"" ""Shaft""  and ""Four Brothers"" after ""Boyz N the Hood."" Constance Russell, 57, of Los Angeles, died at a hospital a few hours after the accident Thursday evening, Los Angeles Police Officer Jason Lee said. Russell was not using a crosswalk when she stepped in front of Singleton's car, Lee said. According to a preliminary police investigation, Singleton was not under the influence of drugs, alcohol or any other substance and was permitted to leave after being questioned. However, Lee said because the victim was killed, the case has been turned over to the district attorney's office for review. Singleton, 39, earned two Academy Award nominations for his 1991 debut film ""Boyz N the Hood."" That film also won him an MTV Movie Award as best new filmmaker. Other films he has directed include ""Rosewood,"" ""Baby Boy,"" ""Shaft"" and ""Four Brothers."" E-mail to a friend",oscars,news-qa-summarization
NEWS_0003,"NEW YORK (CNN)  -- When filmmaker Roman Polanski was arrested Saturday in Switzerland, he was on his way to accept an award for Lifetime Achievement at the Zurich Film Festival. 

Peers of Roman Polanski have praised him for his talent and lamented his arrest. 

Polanski's friend, Swiss filmmaker Otto Weisser, was among the first to publicly run to his defense. 

""This is for me a shock. I am ashamed to be Swiss, that the Swiss is doing such a thing to brilliant fantastic genius, that millions and millions of people love his work,"" Weisser said upon learning the director had been detained by Swiss authorities. ""He's a brilliant guy, and he made a little mistake 32 years ago. What a shame for Switzerland."" 

By Tuesday, more than 130 heavyweights in the movie industry had taken up Polanski's cause. 

An online petition has been signed by directors such as Marin Scorsese, Woody Allen and Pedro Almodovar, as well as actors. 

Studio chief Harvey Weinstein told CNN in a statement: ""We are calling every filmmaker we can to help fix this terrible situation.""  Watch a report on celebrities' feelings about Polanski's arrest » 

Roman Polanski first stormed Hollywood with his psychological thriller, ""Rosemary's Baby,"" in 1968. He remains one of the most celebrated directors in Hollywood and the world, despite not having set foot in the United States in more than three decades. 

""We stand by and await his release and his next masterwork,"" said Zurich Film Festival Jury President Debra Winger on Monday on behalf of Polanski. 

Adrien Brody, who Polanski directed in 2002's ""The Pianist,"" had glowing words when it came to his experience working with Polanski. 

""If you have the guidance from someone you admire, like Roman Polanski, who not only is a gifted director and actor, but who knows the subject matter and in my opinion the character that I portray, implicitly, then, it's a huge gift,"" Brody said. 

""I learned a great deal about film and the process,"" the Academy Award winning actor added. ""I spent six weeks without another actor on the set, just Roman and I and a crew -- and that's, that's a dream come true for an actor. I cherished those memories."" 

""He is sweet and very strong and is very, very demanding, in the tradition of an auteur,"" said Sigourney Weaver about being directed by Polanski in 1994's ""Death and the Maiden."" 

It's a reputation Polanski's earned and maintained, despite his 1977 guilty plea on a statutory rape charge of unlawful sex with a 13-year-old girl.  Watch the mixed reaction in Switzerland to Polanski's arrest » 

The celebrated director fled the United States and settled in France to escape jail, but by the standards of those in Hollywood, the case is ancient history. 

""We hope today that this latest order will be dropped,"" Winger said. ""It is based on a three decade old case that is all but dead, except for a minor technicality."" 

Matthew Belloni, who has has been following the Polanski case for The Hollywood Reporter's  legal blog, said the outpouring of support from the film industry is not surprising. 

""It is a criminal conviction of a terrible crime, but it is something that the industry is willing to look the other way on,"" Belloni said. ""If Hollywood really gets to look at itself and judge the personal character of a lot of the artists in the community, there would be a lot of empty seats at the Oscars because a lot of people have personal problems. This sort of is at the extreme level of that."" 

As Polanski's star rose after his Oscar-winning hit, ""Rosemary's Baby,"" the world got to know the director's back story. 

He was the son of Polish Jews whose mother died in a concentration camp even as a young Polanski escaped the Nazis. 

Polanski grew up to become a famous director and married",film,news-qa-summarization
NEWS_0004,"(CNN) -- Forbes' list of the world's wealthy has named Warren Buffett the richest person on the planet, surpassing his friend and philanthropic partner Bill Gates who had held the title for 13 consecutive years. American investor Warren Buffett has been named world's richest person. The American investor and philanthropist is worth an estimated $62 billion, up $10 billion from a year ago thanks to surging prices of Berkshire Hathaway stock, according to Forbes magazine's annual ranking of the world's billionaires. Gates, the co-founder of Microsoft, is now ranked as the world's third richest person. At $58 billion, his net worth is up $2 billion from a year ago. Mexican telecom tycoon Carlos Slim Helu was named the world's second richest man, with a net worth of around $60 billion, up $11 billion since last March. For the first time, Forbes' rich list named more than 1,000 billionaires from around the world, with 226 newcomers. The total net worth of the group is $4.4 trillion, up $900 billion from 2007.  Watch who's up and who's down » This year's survey finds an increasing number of the world's richest coming from emerging markets, including China, India and Russia. Two years ago, 10 of the top 20 billionaires were from the United States. This year, there are only four. India is now home to four of the 10 richest people in the world, the highest number for a single country. But the United States still holds the top spot as the country with the most billionaires --  Americans account for 42 percent of the world's billionaires and 37 percent of the total wealth, according to Forbes. With 87 billionaires, Russia is now in second place, overtaking Germany, with 59 billionaires, which had held that position for six years. It is also a record-breaking year for young billionaires, with Forbes listing 50 billionaires under the age of 40.   Check out the youngest billionaires » Over half of them are self-starters, including Google co-founders Sergey Brin and Larry Page, and India's Sameer Gehlaut, who started online brokerage Indiabulls. Facebook founder Mark Zuckerberg, age 23, was called ""quite possibly the world's youngest self-made billionaire ever."" E-mail to a friend",microsoft,news-qa-summarization
NEWS_0005,"LOS ANGELES, California (CNN) -- Mat Kearney has every right to be frustrated. Mat Kearney's music has gotten a boost through music video channels and ""Grey's Anatomy."" As he walks to his tour bus behind Hollywood's Palladium -- where he'll play in a few hours -- he's already had to cope with logistical snafus, shortened sound checks and general confusion. And the tour is just beginning. There are more than 30 cities and 10 weeks to come. But as he approaches the bus, he is completely overtaken by an obscure flower hanging off a fence behind the venue. ""I've never seen anything like that,"" he says, looking at the blue-and-white bloom. ""I've got to take one of these."" Kearney should be smelling the flowers. His music, such as the song ""Nothing Left to Lose,"" has received consistent airplay on music TV channels -- which earned him a headlining slot on a VH1-sponsored tour -- and repeated appearances in TV and film. Most notably, ""Grey's Anatomy"" used his song ""Breathe In, Breathe Out."" His new album, ""City of Black & White"" (Aware/Columbia), is out Tuesday.  Watch the video for the single ""Closer to Love"" » The Oregon-born musician, 30, sat down with CNN to talk about his songwriting journey, combining a big sound with personal observations and a certain ""weird TV show."" The following is an edited version of that interview. CNN: How important was Nashville, Tennessee, in your decision to be a songwriter? Mat Kearney: The first year I moved to Nashville, I started playing these songwriter nights with people like Nickel Creek, Duncan Sheik and even Ryan Adams. ... That was the first place I really started playing music and I had to really step up my game. Really quick. Or get kicked off the stage. CNN: This whirlwind world tour you completed last year -- how did it impact this new album and you personally? Kearney: That tour was three years long. [So] this record was a return back to community in Nashville and to sing. ... So, [the tour] created this void for wanting to connect in a local way. So many things happen when you're not out there running and gunning. Falling in love with someone, getting your heart broken, being around friends -- that stuff can only happen when you stick around for a while. CNN: What's the significance of the title -- ""City of Black & White""? Kearney: The title track I wrote in Istanbul. We stayed in this place that overlooked the Bosporus, which splits Europe from Asia. The song is about worlds colliding, being that far away from home, and also longing to be with someone you love in that distant land. ... It seemed like a good cornerstone to build the record on. CNN: You're an avid traveler, but this record is more concerned with planting roots. How do you reconcile the two? Kearney: I don't think, to be a traveler, you have to reject setting roots up. That's the fun of this whole journey for me. There are people I love in Nashville and would not want to go a day without talking to, but I want to see the world. The record is coming out of an experience of reconciling those two things. I played 275 shows for two years straight. You have to travel between those shows. So you're gone. Some of those experiences shape the record. There's a romantic side to it. This isn't a one-night stand record. It's not youthful idealism that's going after the masses. There's some ideas of, say, that prodigal son who has walked away from you and you're sitting there saying, ""I'm here for you if you need me."" CNN: The sound is big but the lyrics are intensely personal. How did you meld those ideas together",album,news-qa-summarization
NEWS_0006,"LOS ANGELES, California (CNN) -- Actor Derek Mears has a big hockey mask to fill. Derek Mears arrives on the red carpet at the Hollywood premiere of the new ""Friday the 13th"" movie. Mears was cast as the iconic boogeyman Jason Voorhees in the new ""Friday the 13th"" movie. A remake of the original 1980 film, the new movie aims to breathe life into the former franchise about a psychopathic killer who preys on a group of young people at the fictitious Camp Crystal Lake. Mears is no stranger to the horror genre, having co-starred in ""The Hills Have Eyes II."" His career is extensive and includes stints as a stuntman in two of the popular ""Pirates of the Caribbean"" films. He recently spoke to CNN about taking a turn as the ultimate evil, the thrill of continuing a slasher legacy and why he's really not that bloody nice. CNN: You aren't that scary in person, so what made you think you could be that scary on camera? Derek Mears: I've got a lot of issues. I've got a whole lot of daddy issues. No, I sound like a basket case. It's funny with acting -- we all wear masks in our normal life. Not to sound like a weirdo in the hockey mask, but like right now I'm really excited about the film and excited about playing the character, and I will start to speak faster. That's kind of what's coming over me: ""Oh you're, you're really nice,"" but ... on the other side of me there are other Dereks that are angry, and like I said before, have a little bit of issues. CNN: Tell me a little bit about how you were approached. Did you know they were making it before they came to you? Was it kind of a shock? Mears: It's so weird. There's two different versions. There's my version of how it went about, and there's the producer's version. I'll tell the producer's version because my version is really, really long. The short version of my version was I heard they were doing a new ""Friday the 13th,"" and I've never tried to pursue a role before and I went, I really want to do this. So when I heard they were doing it, before I even had an audition, I started training for it. I found out a little about what they wanted for the character -- that he wasn't going to be super, you know bulky or big, that he's more functional. He's still big, but he's lean. So I started training that way and trying to do what I could just to get an audition. On the other end, on the producer's end, they asked a bunch of different industry professionals. They said, ""Hey, were doing a new 'Friday the 13th.' Who do you think would be a great new Jason?"" And my name kept popping up, which I'm blown away by. They brought me in for an audition, and I met with them. and they called me the next day and went, ""OK, you're the guy."" And I still don't believe it till this day. I'm blown away. CNN: How did you keep it light on the set? Mears: Believe it or not, all the actors ... got along so well. I have never been so close to a cast before on set. We were just goofing around and playing, but then when it's time to work and get serious with certain scenes, we'd all switch over and do our job and get to the point where we needed to. CNN: Had you seen any of the original ""Friday the 13th"" movies? Mears: Oh yeah. I mean, I'm a fan. I consider myself a fan of the series. I already knew all of the originals. I had them all on DVD",actor,news-qa-summarization
NEWS_0007,"(CNN) -- If you're on Facebook, Twitter or any other social networking site, you could be the next victim. Experts say cybercrooks are lurking just a mouse click away on popular social networking sites. That's because more cyberthieves are targeting increasingly popular social networking sites that provide a gold mine of personal information, according to the FBI. Since 2006, nearly 3,200 account hijacking cases have been reported to the Internet Crime Complaint Center, a partnership between the FBI, the National White Collar Crime Center and the Bureau of Justice Assistance. It starts with a friend updating his or her status or sending you a message with an innocent link or video. Maybe your friend is in distress abroad and needs some help. All you have to do is click. When the message or link is opened, social network users are lured to fake Web sites that trick them into divulging personal details and passwords. The process, known as a phishing attack or malware, can infiltrate users' accounts without their consent. Once the account is compromised, the thieves can infiltrate the list of friends or contacts and repeat the attack on subsequent victims. Social networking sites show there is ample opportunity to find more victims; the average Facebook user has 120 friends on the site. ""Security is a constant arms race,"" said Simon Axten, an associate for privacy and public policy at Facebook. ""Malicious actors are constantly attacking the site, and what you see is actually a very small percentage of what's attempted."" As some social networking sites experience monstrous growth, they are becoming a new -- and extremely lucrative -- frontier for cybercrime. Facebook says it has 300 million users, nearly the size of the U.S. population, and it continues to attract users outside the college student niche. From February 2008 to February 2009, Twitter, a micro-blogging site where users post 140-character messages known as tweets, grew 1,382 percent to more than 7 million users. ""They [cybercriminals] are very adept to using social engineering,"" said Donald DeBold, director of threat research for CA, an Internet security company. ""Your friend is in trouble traveling in another country, 'I lost my wallet. I need help.' They exploit the curiosity aspect out of human nature."" A few decades ago, malicious software and viruses were usually the result of a prank, but Internet security experts say today's attacks are profit-driven. A study from the Indiana University in 2005 discovered that phishing attacks on social networks operated with a 70 percent success rate. These users had fallen for the scam, opened the foreign link and released personal information. Cybercriminals are employing phishing and malware attacks for a number of reasons, including trying to redirect users to sites where profit is fueled by the number of visitors. They also try to elicit private information like passwords and bank account numbers to perform scams. Early this year, Twitter experienced several phishing attacks in which a Web page that looked identical to the widely recognized light blue Twitter page was a hoax. The company warned users to double-check the URL to ensure they were visiting the correct site. The Internet Crime Complaint Center received more than 72,000 complaints about Internet fraud in 2008 that were referred to law enforcement agencies for further investigation. These cases involved financial losses amounting to $264.6 million, an increase from 2007. Each person lost an average of $931. ""Most of us would want to help a friend in need, but if it's an online friend, and they want you to wire money, you should double-check,"" FBI spokesman Jason Pack said. Security experts said it makes sense that cybercriminals are turning to social networking sites. Personal information is abundant on sites like Facebook and MySpace. Each time users give out valuable information like birth dates or addresses, they could be providing hints about their password, security experts say. The American Civil Liberties Union has expressed concern about the information visible through Facebook quizzes and applications. ""They'll have access to all that information, so they can sell it, they can share",facebook,news-qa-summarization
NEWS_0008,"Editor's Note: Reese Witherspoon, the Academy Award-winning actress, is honorary chairman of the Avon Foundation and is employed by Avon Products as its global ambassador. Reese Witherspoon says she wants to banish the myth that young women are not at risk for breast cancer. (CNN) -- Every three minutes in the United States, a woman is diagnosed with breast cancer. As a woman, a mother, and a daughter, I find that statistic terrifying. I was never naïve about breast cancer, but hearing this statistic put it all into perspective.   Women close to me have battled the disease and are now soldiers in the greater fight against it. But the moment I heard ""every three minutes,"" I felt vulnerable and scared as I realized that anyone is susceptible. The only way for me to ease my fears was to take action. I needed to educate myself and others on this disease. As the Honorary Chair for the Avon Foundation, I had resources at my fingertips. I had access to an entire organization that is dedicated to giving back to women and educating people. So I started asking, ""What do I need to know?"" It was through that curiosity that I found out the most important fact in breast cancer: Early detection saves lives. According to the Avon Foundation Breast Cancer Crusade, there is a 97 percent five-year survival rate when breast cancer is caught before it spreads to other parts of the body. When breast cancer first develops, there are usually no symptoms, which is why women need to perform self-exams regularly and contact their doctor upon noticing even the smallest change. Of course talking about breast cancer and breast health is a personal thing. I too am a private person but encourage all women to break through their reservations and talk to their doctors and physicians. We must also banish the myth that young women are not at risk for breast cancer. At the Avon Walk in Washington, I met young survivors who were diagnosed in their 20s, an age when most women are graduating from college and just starting their lives as full adults.  Watch Reese and Larry at the Avon Walk » Women in their 20s and 30s should have a clinical breast exam by a health professional at least once every three years and women 40 and older should have an exam every year. I am passionate about fighting this devastating disease. I fight for my mother, myself, my children and future generations of women, so one day we will not have to be afraid of breast cancer. I began my fight by learning important first steps in breast cancer detection, and will not end my fight until every woman can stand together saying we are breast cancer free. More than anything else, I have faith -- faith we will find a cure. I saw this commitment in the faces of the women in Washington -- in the faces of the women walking and the women and men who stood on the sidelines encouraging the 3,500 participants to the finish line. I was cheering right along with them, screaming for action to find a cure.  Avon's next walk will take place in New York City on October 4 and 5.",oscar,news-qa-summarization
NEWS_0009,"(CNN) -- At least 40 people were killed and numerous others injured in a reported grenade attack at a casino in Monterrey, Mexico, the capital of Nuevo Leon, according to attorney general in that northern state. 

The incident occurred around 4 p.m. local time (5 p.m. ET) at the Casino Royale when two people aboard a vehicle arrived, and one threw three grenades into the building. 

There were conflicting unconfirmed reports from local media that the assailants poured gasoline on the building before setting it on fire. 

Between 20 and 30 people were trapped in the casino because of debris from the explosions, said Cmdr. Angel Flores with the Green Cross. 

Video from the scene showed a burned-out building as firefighters made rescue attempts to break the wall of the facade of the casino to release the smoke inside the building. 

Mexican President Felipe Calderon sent the following statement from his official Twitter account (translated from Spanish): ""With deep consternation, I express my solidarity with Nuevo Leon and the victims of this abhorrent act of terror and barbarism."" 

He added more: ""These reprehensible acts require us all to persevere in the fight against gangs of unscrupulous criminals. All the support to NL (Nuevo Leon)."" 

About five families were outside the casino waiting for information from authorities, local journalist Javier Estrada reported. 

Gustavo Madrazo was one of those waiting outside the casino. He said his wife, Martha, and her sister, Miriam Gonzalez, were inside. 

Authorities have not identified any of the victims. 

So far, no representative for the company that manages the casino had arrived outside. The Mexican Army and state and municipal police forces were also on the scene. 

Alejandro Poire, Mexico's top national security spokesman, said the federal government has made contact with local officials and that Calderon has spoken to the governor of Nuevo Leon to offer support. 

Poire said those who carried out the attacks will be held responsible. ""They will pay for their crimes. ... We will do absolutely everything ... to restore tranquility."" 

The National Commission on Human Rights in Mexico sent a news release saying it has opened an investigation regarding the response to the events at the casino. 

""The priority is to help safeguard the human rights enshrined in the Constitution of the United Mexican States and international treaties. The commission again makes clear that the insecurity in the country requires public officials responsible for implementing and enforcing the law, carry out preventive actions to protect society and away from any violence."" 

""The National Commission will monitor the actions taken by the competent authorities to respond adequately to the aggrieved persons."" 

The NHRC says it has also sent personnel to the scene including physicians, psychologists and lawyers to work jointly with authorities. 

Nuevo Leon, in northeastern Mexico, has seen several grenade attacks so far this year. On August 13, four civilians were wounded when an armed group fired two grenades at a jail in the municipality of Apodaca. 

In July, gunmen entered a downtown bar in Monterrey and shot 20 people dead. A public safety spokesman told CNN the attack was likely sparked by a dispute between organized crime groups for control of the El Sabino Gordo nightclub, where drugs were allegedly sold. 

Nuevo Leon and the neighboring states of Coahuila and Tamaulipas have been the scene of a series of clashes between organized crime groups. The Gulf Cartel and Los Zetas are vying for control of trafficking routes into the United States. 

In November 2010, the federal government launched the Coordinated Operation Northeast, which involves sending more security forces to the area to tackle crime. 

CNN's Nick Valencia contributed to this report",twitter,news-qa-summarization
NEWS_0010,"(CNN) -- Flamboyant and fearless, Roberto Cavalli is the peacock of the fashion world; with his body-hugging clothes, he woos women the world over. Fashion designer Roberto Cavalli But his clients are no dainty damsels: Cavalli's women are Amazonian warriors and Grecian goddesses, whose armor is fashion and whose weapon is sex. His colorful creations are unabashed celebrations of the female form: dresses slashed to the hip or barely skimming the buttocks, necklines that plunge where no other designer dares. Cavalli's woman knows she looks fabulous, and isn't afraid to show it: to her, it's not just clothing, it's an announcement that she's arrived. Born in Florence in 1940, Cavalli was immersed in an intensely creative environment from childhood. That influence came from his father, a tailor, and his artist grandfather, Giuseppe Rossi, whose work is shown in the famous Uffizi Galleries. Following in his father's footsteps, Cavalli studied textile design at the local art institute. By the early 70s, he had developed an innovative technique for printing on lightweight leather, and his Florentine flair had led to commissions with Hermes and Pierre Cardin. In 1970, he presented his first namesake collection at the Salon for Prêt-à-Porter in Paris. His trademark work with unconventional fabrics like embellished denim and leather, mixed with wild animal prints and exotic patterns, was embraced by the jet set and Cavalli opened his first boutique in Saint Tropez in 1972. Cavalli married his wife, Eva Duringer, a former Miss Universe, in 1980; she is now his business partner and right-hand woman. His fondness for bright color, exotics, fur and bold prints -- which he designs in his factory on the outskirts of Florence -- have won him a name as the king of fashion excess. Beloved by A-listers and pop princesses, these are not clothes for the shy: this is old-school glamour, infused with power, wielded by women who have flounced and shimmied their way to the top.  See Cavalli's designs on the catwalk » His main line is sold in over 50 countries worldwide, along with his diffusion lines RC Menswear and Just Cavalli, plus a children's line, knitwear, accessories, eyewear, watches, perfumes, underwear and beachwear. He's even ventured into Cavalli-branded vodka and wine. His collaboration with high-street fashion store H&M in November 2007 caused stampedes as his fans flocked to get their hands on his creations, desperate to capture some of that Cavalli magic at tiny prices. Some have asked whether his latest collections have taken a more gentle direction -- but the tiger's inner fire still burns bright. Spring/Summer 2008's bold flower prints and flirty feathered dresses were followed by Autumn/Winter 2008's flowered dresses that at first glance appear dewy and fresh -- but look closer, and the hip-hugging cut belies their innocence. Cavalli is adored by his celebrity clientele, who flaunt his show-stopping creations on red carpets from Los Angeles to Sydney. Fans of his work include Halle Berry, Sharon Stone, Madonna, Jennifer Lopez, Gwyneth Paltrow, Beyoncè Knowles, Charlize Theron and Victoria Beckham. If anyone sums up the glamour and glitz of show business, it's Cavalli: fashion as theatre, shameless decadence where the whole world is a stage. That's underlined by his eponymous 133'9"" long yacht, built 2004, and color-coordinated, naturally, with his helicopter and fleet of cars.",celebrities,news-qa-summarization
